N	V	V1
356000	27440	11973
357000	27468	11984
358000	27513	12006
359000	27543	12021
360000	27558	12022
361000	27599	12036
362000	27645	12049
363000	27714	12079
364000	27785	12119
365000	27822	12132
366000	27853	12147
367000	27888	12150
368000	27943	12182
369000	27991	12199
370000	28019	12199
371000	28065	12215
372000	28080	12212
373000	28108	12219
374000	28153	12245
375000	28205	12261
376000	28236	12278
377000	28287	12309
378000	28314	12305
379000	28356	12316
380000	28396	12323
381000	28440	12346
382000	28480	12364
383000	28546	12387
384000	28588	12398
385000	28653	12432
386000	28681	12441
387000	28693	12437
388000	28725	12453
389000	28787	12478
390000	28805	12481
391000	28834	12495
392000	28868	12498
393000	28899	12510
394000	28925	12513
395000	28953	12513
396000	28988	12509
397000	29021	12524
398000	29048	12533
399000	29088	12550
400000	29116	12557
401000	29162	12587
402000	29200	12601
403000	29239	12614
404000	29271	12619
405000	29334	12644
406000	29381	12657
407000	29431	12669
408000	29489	12696
409000	29528	12705
410000	29565	12719
411000	29597	12733
412000	29638	12753
413000	29689	12773
414000	29729	12798
415000	29762	12812
416000	29809	12823
417000	29837	12829
418000	29892	12843
419000	29975	12891
420000	30016	12911
421000	30044	12919
422000	30084	12938
423000	30129	12945
424000	30187	12969
425000	30233	12985
426000	30294	13010
427000	30328	13025
428000	30373	13041
429000	30424	13064
430000	30490	13090
431000	30514	13101
432000	30558	13114
433000	30592	13125
434000	30637	13143
435000	30677	13166
436000	30705	13168
437000	30759	13194
438000	30812	13220
439000	30844	13225
440000	30871	13233
441000	30900	13243
442000	30937	13262
443000	30986	13289
444000	31015	13298
445000	31074	13331
446000	31121	13343
447000	31159	13363
448000	31197	13365
449000	31236	13383
450000	31303	13422
451000	31356	13443
452000	31409	13466
453000	31439	13470
454000	31466	13480
455000	31490	13488
456000	31554	13513
457000	31598	13532
458000	31664	13561
459000	31706	13576
460000	31762	13610
461000	31788	13621
462000	31829	13639
463000	31869	13659
464000	31895	13669
465000	31920	13672
466000	31951	13682
467000	31983	13695
468000	32009	13713
469000	32027	13717
470000	32058	13737
471000	32101	13758
472000	32120	13766
473000	32147	13784
474000	32178	13793
475000	32236	13829
476000	32270	13836
477000	32311	13845
478000	32337	13857
479000	32362	13865
480000	32401	13890
481000	32444	13910
482000	32464	13908
483000	32508	13926
484000	32543	13934
485000	32580	13948
486000	32602	13951
487000	32631	13959
488000	32657	13965
489000	32686	13968
490000	32726	13991
491000	32751	13995
492000	32776	14001
493000	32812	14013
494000	32854	14028
495000	32872	14032
496000	32923	14046
497000	32963	14063
498000	32989	14074
499000	33016	14074
500000	33066	14094
501000	33093	14098
502000	33114	14104
503000	33144	14117
504000	33167	14122
505000	33200	14127
506000	33256	14153
507000	33287	14158
508000	33315	14156
509000	33341	14154
510000	33386	14176
511000	33409	14180
512000	33435	14187
513000	33462	14197
514000	33476	14198
515000	33501	14213
516000	33524	14220
517000	33573	14247
518000	33614	14268
519000	33651	14279
520000	33674	14286
521000	33728	14315
522000	33784	14342
523000	33817	14350
524000	33846	14357
525000	33861	14360
526000	33906	14378
527000	33935	14391
528000	33964	14400
529000	34002	14424
530000	34022	14433
531000	34071	14445
532000	34106	14448
533000	34179	14491
534000	34216	14500
535000	34229	14499
536000	34256	14511
537000	34276	14514
538000	34303	14517
539000	34339	14522
540000	34360	14523
541000	34415	14558
542000	34480	14587
543000	34548	14631
544000	34564	14638
545000	34592	14646
546000	34641	14664
547000	34662	14671
548000	34708	14688
549000	34742	14704
550000	34777	14711
551000	34787	14711
552000	34833	14741
553000	34852	14748
554000	34873	14745
555000	34912	14768
556000	34941	14766
557000	34966	14778
558000	35022	14803
559000	35058	14818
560000	35093	14841
561000	35122	14857
562000	35174	14891
563000	35214	14907
564000	35234	14911
565000	35289	14935
566000	35340	14957
