N	V	V1
356000	37057	19489
357000	37131	19526
358000	37236	19568
359000	37318	19608
360000	37369	19642
361000	37430	19656
362000	37531	19685
363000	37631	19731
364000	37708	19764
365000	37796	19781
366000	37875	19814
367000	37962	19855
368000	38035	19885
369000	38099	19915
370000	38157	19942
371000	38234	19982
372000	38312	20017
373000	38379	20050
374000	38452	20096
375000	38492	20115
376000	38535	20124
377000	38618	20177
378000	38679	20203
379000	38761	20255
380000	38860	20302
381000	38958	20341
382000	39066	20400
383000	39173	20466
384000	39252	20508
385000	39345	20554
386000	39459	20625
387000	39551	20679
388000	39617	20712
389000	39723	20777
390000	39807	20809
391000	39919	20868
392000	40011	20922
393000	40098	20966
394000	40143	20992
395000	40143	20992
396000	40143	20992
397000	40143	20992
398000	40143	20992
399000	40143	20992
400000	40143	20992
401000	40143	20992
402000	40143	20992
403000	40143	20992
404000	40143	20992
405000	40143	20992
406000	40143	20992
407000	40207	21031
408000	40292	21069
409000	40374	21117
410000	40418	21138
411000	40475	21175
412000	40534	21213
413000	40583	21241
414000	40625	21265
415000	40669	21293
416000	40747	21332
417000	40838	21357
418000	40899	21365
419000	40948	21387
420000	40997	21408
421000	41058	21441
422000	41126	21472
423000	41177	21502
424000	41223	21526
425000	41262	21537
426000	41308	21559
427000	41394	21624
428000	41549	21730
429000	41700	21840
430000	41857	21958
431000	41963	22028
432000	42037	22061
433000	42106	22094
434000	42153	22114
435000	42209	22136
436000	42280	22176
437000	42339	22206
438000	42402	22242
439000	42452	22270
440000	42516	22297
441000	42569	22317
442000	42631	22351
443000	42675	22360
444000	42722	22384
445000	42762	22397
446000	42828	22441
447000	42892	22477
448000	42940	22503
449000	42995	22535
450000	43048	22558
451000	43094	22575
452000	43127	22590
453000	43158	22596
454000	43198	22612
455000	43241	22626
456000	43306	22661
457000	43365	22688
458000	43432	22717
459000	43516	22754
460000	43558	22776
461000	43621	22808
462000	43659	22825
463000	43712	22848
464000	43772	22883
465000	43849	22917
466000	43955	22970
467000	44052	23023
468000	44171	23093
469000	44319	23173
470000	44523	23277
471000	44728	23380
472000	44904	23480
473000	45049	23530
474000	45168	23571
475000	45301	23614
476000	45410	23652
477000	45460	23680
478000	45499	23700
479000	45551	23728
480000	45607	23759
481000	45653	23770
482000	45708	23793
483000	45757	23817
484000	45803	23838
485000	45854	23863
486000	45902	23892
487000	45943	23916
488000	45978	23928
489000	46043	23962
490000	46081	23972
491000	46129	23997
492000	46184	24017
493000	46214	24026
494000	46261	24053
495000	46296	24063
496000	46343	24087
497000	46395	24121
498000	46448	24154
499000	46494	24168
500000	46530	24172
501000	46579	24199
502000	46618	24219
503000	46656	24233
504000	46687	24241
