N	V	V1
356000	30052	12965
357000	30093	12978
358000	30127	12984
359000	30157	12988
360000	30194	12993
361000	30235	13006
362000	30293	13034
363000	30335	13042
364000	30379	13055
365000	30420	13072
366000	30475	13093
367000	30520	13106
368000	30551	13118
369000	30598	13142
370000	30640	13142
371000	30682	13157
372000	30721	13157
373000	30749	13170
374000	30792	13176
375000	30821	13189
376000	30859	13200
377000	30900	13217
378000	30939	13221
379000	30978	13241
380000	31020	13256
381000	31076	13286
382000	31114	13314
383000	31170	13349
384000	31215	13364
385000	31243	13370
386000	31274	13383
387000	31333	13424
388000	31356	13424
389000	31398	13439
390000	31427	13436
391000	31470	13461
392000	31503	13480
393000	31559	13510
394000	31608	13532
395000	31655	13544
396000	31696	13555
397000	31744	13569
398000	31785	13582
399000	31841	13616
400000	31901	13642
401000	31961	13672
402000	32012	13689
403000	32058	13704
404000	32093	13718
405000	32148	13732
406000	32183	13742
407000	32244	13766
408000	32271	13764
409000	32304	13775
410000	32320	13766
411000	32340	13769
412000	32359	13773
413000	32397	13794
414000	32419	13802
415000	32441	13806
416000	32458	13813
417000	32476	13813
418000	32500	13825
419000	32524	13836
420000	32535	13827
421000	32561	13830
422000	32602	13843
423000	32630	13851
424000	32676	13877
425000	32742	13909
426000	32772	13921
427000	32809	13935
428000	32859	13959
429000	32914	13980
430000	32941	13988
431000	32978	14009
432000	33034	14029
433000	33096	14056
434000	33124	14062
435000	33155	14072
436000	33181	14077
437000	33214	14085
438000	33244	14100
439000	33313	14122
440000	33337	14122
441000	33393	14143
442000	33414	14137
443000	33442	14139
444000	33450	14140
445000	33464	14144
446000	33477	14148
447000	33497	14160
448000	33514	14159
449000	33526	14162
450000	33536	14162
451000	33543	14163
452000	33555	14165
453000	33579	14174
454000	33590	14180
455000	33601	14178
456000	33621	14179
457000	33641	14180
458000	33658	14184
459000	33675	14188
460000	33709	14209
461000	33733	14215
462000	33746	14218
463000	33759	14226
464000	33767	14228
465000	33777	14232
466000	33784	14231
467000	33799	14238
468000	33812	14244
469000	33830	14249
470000	33844	14248
471000	33853	14252
472000	33870	14249
473000	33891	14246
474000	33919	14255
475000	33935	14250
476000	33952	14257
477000	33965	14262
478000	33975	14263
479000	33982	14262
480000	33988	14260
481000	34000	14269
482000	34013	14277
483000	34033	14284
484000	34075	14299
485000	34127	14329
486000	34163	14349
487000	34230	14376
488000	34275	14396
489000	34312	14404
490000	34333	14404
491000	34372	14422
492000	34410	14437
493000	34443	14447
494000	34472	14448
495000	34498	14462
496000	34524	14478
497000	34560	14497
498000	34654	14552
499000	34738	14610
500000	34771	14623
501000	34797	14632
502000	34836	14644
503000	34869	14655
504000	34887	14658
505000	34917	14667
506000	34940	14678
507000	34972	14695
508000	35015	14713
509000	35070	14732
510000	35112	14745
511000	35162	14766
512000	35182	14768
513000	35200	14767
514000	35225	14770
515000	35248	14779
516000	35277	14793
517000	35308	14814
518000	35338	14832
519000	35374	14849
520000	35399	14855
521000	35432	14864
522000	35471	14883
523000	35504	14887
524000	35534	14894
525000	35570	14905
526000	35696	14985
527000	35796	15053
528000	35843	15073
529000	35873	15092
530000	35896	15105
531000	35921	15110
532000	35932	15104
533000	35942	15104
534000	35951	15099
535000	35976	15103
536000	36004	15115
537000	36049	15131
538000	36092	15148
539000	36120	15159
540000	36142	15158
541000	36149	15160
542000	36163	15164
543000	36177	15169
544000	36207	15171
545000	36230	15182
546000	36270	15194
547000	36298	15200
548000	36328	15207
549000	36345	15206
550000	36374	15211
551000	36418	15223
552000	36441	15229
553000	36488	15248
554000	36540	15261
555000	36566	15275
556000	36595	15279
557000	36621	15293
558000	36631	15290
559000	36647	15298
560000	36687	15317
561000	36716	15320
562000	36747	15337
563000	36800	15359
564000	36847	15376
565000	36876	15389
566000	36904	15397
567000	36936	15401
568000	36958	15406
569000	36977	15409
570000	37018	15423
571000	37032	15420
572000	37104	15445
573000	37152	15459
574000	37222	15498
575000	37300	15544
576000	37379	15566
577000	37457	15598
578000	37558	15652
579000	37606	15666
580000	37648	15683
581000	37717	15708
582000	37768	15733
583000	37825	15739
584000	37867	15757
585000	37942	15795
586000	38035	15845
587000	38077	15865
588000	38144	15900
589000	38229	15940
590000	38385	16034
591000	38481	16078
592000	38600	16143
593000	38644	16157
594000	38700	16179
595000	38775	16215
596000	38874	16256
597000	38986	16313
598000	39063	16367
599000	39119	16384
600000	39153	16398
601000	39190	16423
602000	39234	16445
603000	39284	16476
604000	39328	16481
605000	39355	16493
606000	39393	16501
607000	39434	16517
608000	39468	16532
609000	39505	16543
610000	39542	16554
611000	39583	16577
612000	39618	16586
613000	39644	16588
614000	39679	16604
615000	39700	16606
616000	39752	16629
617000	39791	16642
618000	39820	16648
619000	39830	16644
620000	39855	16655
621000	39900	16672
622000	39943	16689
623000	39971	16702
624000	39998	16712
625000	40024	16729
626000	40044	16740
627000	40057	16738
628000	40101	16760
629000	40182	16816
630000	40244	16852
631000	40327	16898
632000	40360	16896
633000	40360	16855
634000	40360	16786
635000	40414	16804
636000	40471	16825
637000	40521	16845
638000	40581	16874
639000	40636	16867
640000	40678	16869
641000	40749	16899
642000	40807	16921
643000	40859	16948
644000	40887	16968
645000	40926	16978
646000	40972	16996
647000	41044	17039
648000	41101	17063
649000	41152	17085
650000	41198	17108
651000	41229	17114
652000	41250	17120
653000	41300	17133
654000	41347	17155
655000	41408	17178
656000	41456	17199
657000	41527	17236
658000	41592	17260
659000	41636	17277
660000	41688	17296
661000	41763	17339
662000	41844	17373
663000	41935	17415
664000	42030	17470
665000	42113	17507
666000	42165	17521
667000	42217	17543
668000	42253	17560
669000	42302	17593
670000	42340	17610
671000	42404	17652
672000	42487	17699
673000	42552	17733
674000	42623	17778
675000	42673	17789
676000	42721	17808
677000	42788	17832
678000	42837	17849
679000	42902	17880
680000	42989	17926
681000	43041	17936
682000	43088	17944
683000	43141	17978
684000	43198	17997
685000	43249	18021
686000	43300	18029
687000	43348	18059
688000	43400	18078
689000	43446	18099
690000	43492	18129
691000	43530	18143
692000	43574	18164
693000	43612	18180
694000	43634	18188
695000	43672	18209
696000	43700	18223
697000	43755	18245
698000	43825	18285
699000	43878	18317
700000	43923	18332
701000	43973	18350
702000	44027	18376
703000	44109	18421
704000	44167	18446
705000	44214	18471
706000	44268	18502
707000	44315	18526
708000	44359	18544
709000	44415	18568
710000	44468	18592
711000	44516	18619
712000	44569	18640
713000	44617	18660
714000	44679	18691
715000	44731	18716
716000	44764	18721
717000	44788	18726
718000	44818	18730
719000	44835	18739
720000	44864	18746
721000	44880	18745
722000	44922	18767
723000	44956	18777
724000	45045	18808
725000	45132	18856
726000	45179	18878
727000	45215	18893
728000	45243	18902
729000	45276	18914
730000	45301	18916
731000	45327	18923
732000	45390	18951
733000	45457	18987
734000	45521	19004
735000	45577	19033
736000	45660	19065
737000	45743	19104
738000	45790	19124
739000	45856	19152
740000	45898	19175
741000	45959	19207
742000	46004	19222
743000	46051	19240
744000	46100	19257
745000	46161	19284
746000	46197	19300
747000	46241	19324
748000	46291	19354
749000	46343	19386
750000	46394	19406
751000	46462	19449
752000	46488	19455
753000	46533	19478
754000	46562	19479
755000	46592	19490
756000	46615	19492
757000	46648	19511
758000	46666	19514
759000	46695	19522
760000	46736	19533
761000	46789	19552
762000	46835	19576
763000	46861	19588
764000	46905	19600
765000	46947	19616
766000	46978	19622
767000	47005	19626
768000	47024	19631
769000	47039	19635
770000	47051	19632
771000	47084	19632
772000	47105	19643
773000	47122	19645
774000	47146	19659
775000	47171	19663
776000	47193	19669
777000	47218	19675
778000	47243	19684
779000	47265	19696
780000	47282	19702
781000	47304	19706
782000	47320	19710
783000	47350	19729
784000	47369	19737
785000	47383	19743
786000	47392	19740
787000	47399	19737
788000	47418	19744
789000	47439	19750
790000	47455	19756
791000	47470	19760
792000	47491	19772
793000	47498	19763
794000	47515	19773
795000	47535	19779
796000	47546	19775
797000	47579	19794
798000	47626	19826
799000	47645	19834
800000	47662	19838
801000	47677	19832
802000	47700	19842
803000	47711	19839
804000	47728	19842
805000	47743	19850
806000	47758	19854
807000	47789	19870
808000	47813	19876
809000	47838	19885
810000	47863	19889
811000	47882	19891
812000	47902	19900
813000	47916	19899
814000	47934	19902
815000	47942	19899
816000	47963	19902
817000	47984	19906
818000	47999	19902
819000	48029	19914
820000	48050	19925
821000	48079	19940
822000	48102	19942
823000	48131	19951
824000	48174	19966
825000	48217	19985
826000	48238	19987
827000	48256	19986
828000	48287	19991
829000	48313	19991
830000	48341	20001
831000	48368	19999
832000	48399	20008
833000	48426	20016
834000	48454	20025
835000	48481	20034
836000	48538	20060
837000	48581	20074
838000	48595	20076
839000	48632	20082
840000	48672	20099
841000	48704	20113
842000	48716	20120
843000	48733	20123
844000	48749	20123
845000	48766	20131
846000	48780	20131
847000	48811	20141
848000	48837	20159
849000	48859	20167
850000	48881	20176
851000	48904	20193
852000	48912	20197
853000	48921	20194
854000	48940	20200
855000	48971	20219
856000	48996	20226
857000	49016	20223
858000	49035	20219
859000	49056	20216
860000	49082	20221
861000	49103	20224
862000	49121	20226
863000	49141	20231
864000	49178	20243
865000	49211	20237
866000	49246	20243
867000	49285	20254
868000	49313	20261
869000	49347	20263
870000	49386	20274
871000	49416	20280
872000	49451	20290
873000	49484	20299
874000	49521	20307
875000	49559	20312
