m	Vm
826	1
827	3
828	3
829	1
831	2
832	1
833	1
834	3
836	2
837	3
839	5
840	1
841	2
843	2
844	1
845	1
846	1
849	2
850	4
851	2
852	1
854	1
855	1
856	2
858	2
859	1
860	3
861	2
862	3
863	1
864	3
866	2
867	5
868	1
869	1
871	2
872	1
874	2
875	4
876	2
877	2
878	1
880	1
882	2
883	2
884	1
885	1
886	1
887	4
888	1
891	2
893	1
894	3
895	1
896	2
898	1
899	2
900	2
901	1
903	1
904	3
905	1
906	1
907	1
908	2
909	1
912	1
914	2
915	1
918	3
920	1
922	3
923	1
924	2
925	2
926	1
927	2
929	3
930	1
931	2
932	1
933	2
935	2
937	2
938	1
939	4
940	1
942	1
944	2
945	4
947	3
948	3
949	3
950	2
951	1
952	2
953	2
954	2
956	1
957	2
958	1
959	4
961	4
962	2
963	1
964	2
965	2
966	2
967	4
971	2
972	1
973	1
974	4
975	3
977	2
979	3
980	2
981	1
983	2
984	1
985	1
986	2
988	1
990	1
991	1
992	1
993	1
995	3
996	2
997	1
998	3
1000	1
1002	2
1003	1
1004	2
1005	3
1006	2
1008	1
1009	1
1010	3
1011	2
1016	1
1017	1
1020	1
1021	2
1022	2
1023	2
1024	1
1025	2
1026	1
1029	2
1030	1
1032	2
1033	2
1034	3
1035	3
1036	1
1037	1
1039	2
1040	1
1041	2
1042	1
1043	2
1044	2
1045	2
1047	1
1049	2
1050	2
1051	2
1054	1
1055	1
1056	1
1060	2
1061	1
1062	1
1063	1
1065	1
1066	1
1068	1
1072	2
1074	2
1077	2
1078	1
1079	2
1080	1
1084	1
1085	1
1086	1
1087	2
1088	2
1089	1
1090	1
1091	3
1092	2
1094	1
1095	1
1096	2
1097	2
1098	1
1100	1
1101	1
1103	2
1104	1
1105	1
1106	2
1108	1
1110	1
1112	1
1113	1
1116	1
1117	1
1119	2
1120	1
1122	1
1123	2
1124	3
1126	1
1127	3
1129	2
1130	1
1131	1
1132	1
1134	2
1135	3
1136	1
1137	1
1138	2
1141	1
1142	2
1144	1
1145	1
1146	1
1147	1
1150	1
1151	1
1152	1
1153	1
1155	1
1156	1
1158	2
1159	1
1162	2
1163	1
1165	2
1166	1
1169	1
1170	3
1172	1
1173	2
1174	1
1175	2
1177	1
1178	1
1181	1
1183	2
1187	1
1189	2
1193	1
1194	2
1196	1
1197	4
1199	1
1200	1
1202	1
1205	3
1209	1
1210	1
1211	1
1215	1
1216	2
1217	1
1218	1
1219	1
1220	2
1222	1
1224	1
1227	1
1228	1
1229	2
1230	1
1233	2
1238	1
1239	3
1240	1
1241	2
1244	1
1246	2
1248	2
1249	4
1250	1
1251	3
1252	1
1253	1
1255	2
1256	1
1259	1
1260	1
1263	3
1264	1
1266	3
1267	1
1269	2
1270	1
1271	2
1272	1
1273	1
1274	1
1276	1
1278	1
1283	2
1287	1
1288	2
1289	1
1290	1
1291	2
1292	1
1294	1
1295	1
1300	2
1301	1
1303	1
1304	1
1305	2
1306	2
1307	3
1310	1
1311	1
1315	2
1316	1
1319	1
1321	1
1324	1
1325	1
1326	2
1330	1
1331	1
1332	2
1333	1
1334	1
1335	2
1336	1
1337	1
1338	2
1341	2
1342	4
1344	1
1348	1
1350	1
1353	2
1355	1
1356	1
1360	1
1365	2
1375	2
1376	2
1377	2
1378	1
1379	1
1388	1
1390	1
1393	1
1395	1
1396	2
1400	1
1402	1
